SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Addie Jordan,,,Schooner,1873,"Saco, ME",12/14/07,1907,12,14,Squan Beach N 5 mi,,,Stranded,Wood,US,132.3,31.6,9.5,376,357,"Norfolk, VA","Norfolk, VA","New York, NY",Cramer,2,,0,2000,14000,Lumber,Squan Beach #8,Y,N,#105245; Total loss,
Addie Schlaefer,,L H Hopkins,Schooner,1874,"Port Jefferson, NY",3/27/1877,1877,3,27,Cold Spring Inlet South bar,,,Stranded,,,105.6,28.6,8.5,178,,"New York, NY","Norfolk, VA","New York, NY",E A Deacon,6,,0,7000,6000,9000 bushels Corn,Cape May #39,N,N,#105337; Refloated,
Adelaide (1841),,,Schooner,,,11/14/1841,1841,11,14,Brigantine Beach,,,Mechanical damage,,,,,,,,"Tuckerton, NJ","Tuckerton, NJ","Sing Sing, NY",,,,,,,Coal,,Y,N,Sank,
Adele Trudell,,Frank Smith et al,Schooner,1870,,11/24/1891,1891,11,24,Sandy Hook Romer Shoal,,,Stranded,Wood,,,,,157,,"Camden, NJ","Cape May, NJ","New York, NY",Roopey,8,,0,2000,310,Sand,Sandy Hook,Y,N,#944; Total loss,
Adonis,,,Bark,1853,,3/3/1859,1859,3,3,Long Branch South end,,,Stranded,Wood,Netherlands,,,,550,,"Breman, Germany","Newcastle, England","New York, NY",,12,,0,,,Grindstones; lead ingots,,Y,Y,"Total loss; Same site as ""Russland""",
Adriatic (1864),,E E Morgan & Sons,Sailing ship,1861,"East Boston, MA",8/12/1864,1864,8,12,Montuk SW 20 mi,,,Burned,Wood,US,181,34,23,989,,"New York, NY","London, England","New York, NY",R H Moore,,163,0,,,,,Y,N,"One of 30 ships captured by ""Tallahassee""",
Aeolus,,Neptune Maritime Co,Tanker,1965,"Sunderland, England",8/24/74,1974,8,24,Ambrose Light E 2 mi,,,Stranded,Steel,Liberia,800,,,35324,,"Moravia, Liberia","St Croix, USVI","New York, NY",Stamatioa Stogiannos,,,,,,66075 ton crude oil,,N,Y,Refloated,
African Monarch,,Monarch SS Co,Steamer,1898,"Newcastle, England",8/12/10,1910,8,12,Brigantine LSS SE 3 mi,,,Stranded,Steel,England,376.7,48,26.3,4296,,"Glasgow, Scotland","Philadelphia, PA","New York, NY",Thomas Taters,35,,0,40000,,None,South Brigantine & Brigantine,N,N,#108781; Refloated w/o assistance,
Agnes (1877),,,Steamer,,,3/1/1877,1877,3,1,Cold Spring Bar,,,Stranded,,,,,,583,,"New York, NY","Philadelphia, PA","New York, NY",Burdick,18,,0,20000,30000,"Whiskey, brandy, soup, paper",3 Mile Beach #38,N,N,Refloated,
Aid (1864),,,Bark,,,8/3/1864,1864,8,3,Barnegat South Shoal,,,Stranded,,US,,,,,,,"Pembroke Parish, Bermuda","New York, NY",Goodwin,12,0,0,,,Sugar,,Y,N,Broke up,
Ajax,,Thomas Marshall,Tug,,,2/4/1858,1858,2,4,Long Branch,,,Mechanical damage,Wood,US,,,,,,"New York, NY","Barnegat Inlet, NJ","New York, NY",Thomas Marshall,,,0,16000,,,,Y,N,Sent to tow Mary Dyer to NY,
Alabama,,,Schooner,,,2/15/1846,1846,2,15,Squan Inlet S 1 mi,40-05-20 N,74-02-00 W,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",Nicholson,7,0,7,,,"Hides, spices, iron",,Y,N,"Crew, ship, cargo lost ",
Alaric,,,Sloop,,,1/25/1855,1855,1,25,,,,Mechanical damage,,,,,,,,,"Wilmington, NC","New York, NY",,,,,,,,,,N,,
Albemarle (1856),,,Schooner,,,12/15/1856,1856,12,15,Sandy Hook Inside,,,Stranded,,,,,,,,"Pantego, NC","Providence, RI","New York, NY",,,,0,,,,,,N,,
Alberta,,,Schooner,1882,"Baltimore, MD",10/12/11,1911,10,12,Little Egg Harbor S 1 mi,,,Stranded,,,78.2,25.3,6.3,77,73,"Chincoteague, VA","York River, VA","New York, NY",,4,0,0,3000,640,Lumber,Little Egg & Little Beach,N,N,#106113; Refloated,
Albertine Meyer,,J Diercks,Brig,,,2/6/1884,1884,2,6,Barnegat LSS SE .5 mi,,,Stranded,Wood,Germany,102.7,25.3,14.5,266,,"Rostock, Germany","Bahia, Brazil","New York, NY",Selck,9,0,0,10000,40000,Sugar,Barnegat,Y,N,#770; Total loss,
Albion (1847),,,Schooner,,,8/1847,1847,8,,Sandy Hook,,,Stranded,,,,,,,,,"Picton, NS","New York, NY",,5,0,0,,,,,Y,N,Total loss,
Alfred C Harmer,,,Sloop,1873,"Bayport, NY",1/1/1897,1897,1,1,Little Egg LSS E 1.75 mi,,,Stranded,Wood,US,47.2,17.2,5.1,23,20,"Somers Point, NJ","Little Egg Harbor, NJ","New York, NY",Endicott,2,0,0,1000,50,Wood,Little Egg,N,N,#105279; Refloated,
Algoma,,J F Whitney,Ship,1872,,5/18/1889,1889,5,18,Long Beach LSS N .5 mi,,,Stranded,,England,,,,1184,,"Halifax, NS","Rio de Janiero, Brazil","New York, NY",Vego,19,,0,8000,,In ballast,Long Branch #5,N,N,Refloated,
Alice (1879),,J S Winslow & Co,Bark,1874,"Deering, ME",7/18/1879,1879,7,18,Absecon SSE 35 mi,,,Collision,,US,,,,504,,"Portland, ME","Caibarien, Cuba","New York, NY",F S Dyer,,,,,,,,N,N,Partial loss; Put in to New York,
Alice (1893),,M Jacobson,Bark,1865,"Damariscotta, ME",2/6/1893,1893,2,6,Long Beach LSS S 1.75 mi,,,Stranded,,Norway,170,35,22,977,,"Arandal, Norway","Dunkirk, France","New York, NY",Jacobsen,16,0,4,15000,,None,Long Beach & Ship Bottom,,Y,,
Alice L Pearce,,,Schooner,,,11/23/1876,1876,11,23,,,,Stranded,,US,,,,75,40.72,"Squan, NJ","Pamunkey River, VA","New York, NY",Green,6,0,0,5000,6000,Tomatoes,Little Egg,N,N,#1725; Refloated,
Alice Ridgway (1888),,William E Cranmer,Sloop,1880,"Tuckerton, NJ",3/12/1888,1888,3,12,Little Egg LSS N .25 mi,,,Stranded,Wood,US,38.6,13.9,4,10.98,10.44,"Tuckerton, NJ","Manahawkin, NJ","New York, NY",Brown,2,0,0,800,125,Oysters,Little Egg,N,N,#105893; Refloated,
Amelia (1864),,,Bark,,,4/10/1864,1854,4,10,Long Beach Island,,,Stranded,,England,,,,,,,"Demerara, British Guiana","New York, NY",Jenkins,,,,,,"Brandy, molasses",,Y,N,,
America (1866),,,Steamer,,"Hoboken, NJ",10/5/1866,1855,10,5,Barnegat Shoal,,,Stranded,,US,,,,,,,"Wilmington, DE","New York, NY",Ready,20,,0,,,Cotten,,,N,,
American (1909),,,Freighter,1900,"Chester, PA",12/21/09,1909,12,21,Brigantine LSS SE 4 mi,,,Stranded,Steel,,406.8,51.1,30.3,5591,3643,"New York, NY","Puerto, Mexico","New York, NY",,46,,,500000,400000,General,Brigantine,,N,#107591,
American System,,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded,,,,,,,,"Staten Island, NY","Port of Yorktown, Virginia","New York, NY",,,,,,,General,,,N,Driven ashore,
Amity,,,Packet,1816,"New York, NY",4/23/1824,1824,4,23,Squan Beach,,,Stranded,,,106.6,28.6,14.3,382,,,"Liverpool, England","New York, NY",John Stantion,,,,,,,,,N,,
Anderson (1863),,,Ship,,,9/7/1863,1863,9,7,Absecon Beach,39-14-40 N,74-36-30 W,Stranded,,Italy,,,15,,,"Lisbon, Portugal","Lisbon, Portugal","New York, NY",Posey,16,,,,,"Wool, marble, salt, wood",,Y,N,Total loss,
Andes (1894),,Atlas SS Co,Steamer,1865,"Glasgow, Scotland",1/22/1894,1894,1,22,Little Egg Harbor S 4 mi,,,Stranded,Iron,England,294,32.5,27.1,1869,1197,"Kingston, England","Sabanilla, Equador","New York, NY",Williams,42,,0,150000,150000,General,Litle Beach & Little Egg,N,N,#5426; Refloated,
Andrea Doria,,Societa di Navigazione Italia,Passenger,1950,"Genoa, Italy",7/25/56,1956,7,25,Nantucket Island SE 45 mi,40-29-408 N,69-51-046 W,Collision,Steel,Italy,696,88.6,45.4,29100,,"Genoa, Italy","Genoa, Italy","New York, NY",Piero Calamai,575,1241,47,,,,,Y,Y,sank in 11 hours,
Andrew Jackson (1818),,Rogers & Schermerhotn,Sailing ship,,,11/26/1818,1818,11,26,Barnegat,39-36-00 N,74-12-06 W,Stranded,Wood,US,,,,,,,"Bristol, England","New York, NY",Morton,,60,0,,,Heavy assorted cargo,,Y,N,Some cargo saved; ship total loss,
Andrew Nebinger,,Phil Fitzpatrick & J May,Schooner,1873,"Milford, DE",3/12/1888,1888,3,12,Highlands Light,,,Collision,Wood,,127,32.8,9.7,293.7,279,"Philadelphia, PA","Jacksonville, FL","New York, NY",W T Smith,7,,,7000,3000,440 ton Yellow pine lumber,,,N,#105299,
Angelina Brewer,,,Bark,,,2/20/1864,1864,2,20,Pecks Beach,39-14-40 N,74-36-50 W,Stranded,,,,,,,,"New York, NY","New Orleans, LA","New York, NY",,,,0,,,Cotton,,Y,N,Total loss,
Angenoria,,,Schooner,,,11/29/1838,1838,11,29,Barnegat N 10 mi,,,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",,,,,,,Coal,,Y,N,Total loss,
Anita,,James Henderson,Brig,1875,"Bath, ME",2/16/1885,1885,2,16,Cold Spring Inlet South bar,,,Stranded,Wood,US,110,29.7,8.7,219,208,"New York, NY","Punta Cardón, Venezuela","New York, NY",A McCready,8,2,0,10000,42000,"Hides, deerskin, coffee",Colld Spring,Y,N,#105185; Total loss,
Anna (1872),,Perst & Co,Brig,1856,Bermuda,4/9/1872,1872,4,9,Highlands SSE 16 mi,,,Collision,,England,,,10,185,,Bermuda,"Barbados, Carribean","New York, NY",J J Morrow,,,,,,,,N,N,"Abandoned; Towed to NY by ""Wiley Smith""",
Anna (1885),,F Edge & Co,Bark,1873,"Grimstad, Norway",7/7/1885,1885,7,7,Seabright LSS S .5 mi,,,Stranded,Wood,Sweden,107.9,24.9,14.9,315,,"Sandsvall, Sweden","Aracaju, Brazil","New York, NY",Olsson,10,,0,7000,40000,Sugar,Seabright,N,N,Refloated,
Anna E Cranmer,,A R Pharo,Schooner,1866,"Allowaystown, NJ",1/9/1885,1885,1,9,Sandy Hook Romer Shoal,,,Stranded,Wood,US,110.4,29.8,9,231.45,202.78,"Tuckerton, NJ","Richmond, VA","New York, NY",James G Williks,6,,0,6000,2000,Pinewood,,N,N,#522; Refloated; 2 more incidents in VA,
Annie L Palmer,,,Schooner,1874,"Bath, ME",3/13/1882,1882,3,13,Island Beach LSS N 1 mi,,,Stranded,,,87.6,25.2,8.5,119.2,113.24,"Bath, ME","Baracoa, Cuba","New York, NY",Lewis,6,,0,7000,900,Fruit,Island Beach #16,N,N,#105422 Refloated,
Annie S Carll (1878),,,Schooner,1871,"Glenwood, NY",1/30/1878,1878,1,30,Absecon Inlet North shoal,,,Stranded,,,67,20.4,5.3,48.06,45.66,"Patchogue, NY","Rappahannock, VA","New York, NY",Seeman,5,0,0,4000,900,Oysters,Atlantic City #27,N,N,#105046; Refloated,
Anson Stimson,,Pigeon Hill Granite Co,Schooner,1874,"Salisbury, MA",1/16/1881,1881,1,16,Atlantic City LSS N 1.25 mi,,,Stranded,,US,117.6,28,9.2,224,,"Gloucester, MA","Macoris, San Domingo","New York, NY",McLane,6,1,0,17000,18000,"Sugar, molasses",Atlantic City #28,Y,Y,#105397; Total loss,
Antilia,,Bahama SS Co,Steamer,1893,,12/23/00,1900,12,23,Great Egg Harbor Inlet,,,Stranded,Steel,England,200,30.2,12.2,927,588,"Nassau, BAH","Nassau, Bahamas","New York, NY",C F montell,23,2,0,60000,23000,General,Ocean City & Longport,N,N,Refloated,
Antilla,,R C Elken,Bark,1890,"Kings County, NB",3/29/02,1902,3,29,Long Beach LSS NE .5 mi,,,Stranded,Wood,Canada,145.8,33.3,12.7,466,442,"St John, NB, Canada ","Montevideo, Uraguay","New York, NY",J A Reed,9,,0,11000,124495,Hides & wool,Long Beach & Ship Bottom,Y,N,#96948; Ship lost; cargo saved,
Antioch,,J S Emery,Bark,1876,"Kennebunk, ME",3/27/13,1913,3,27,Squan Beach LSS SSE 500 yds,,,Stranded,,,183.3,35.2,21,986,,"Boston, MA","Savannah, GA","New York, NY",Morris,10,,0,12000,5500,Lumber,Squan Beach,Y,Y,#105636; Total loss,
Arabella (1842),,,Schooner,,,3/31/1842,1842,3,31,Long Beach Island,,,Stranded,,,,,,,,,"Franklin, LA","New York, NY",Green,,,,,,Heavy Timber,,,N,,
Arctic,,,Brig,1874,"Wilmot, ON, CA",11/23/1881,1881,11,23,Squan Point LSS E 400 yds,,,Burned,,England,112.2,28.2,12.5,274,,"Annapolis, NS","Trieste, Austria","New York, NY",Oxelgren,9,,0,8000,40000,General,Squan Point #11,Y,N,Total loss,
Argean,,G W Hall,Bark,1859,"Warren, RI",7/7/1863,1863,7,7,Brigantine Beach,,,Stranded,Wood,US,,,15,,,"Providence, RI","New Orleans, LA","New York, NY",Potter,,,,,,Sugar,,N,N,#230; Refloated,
Arion,,,Bark,,,2/11/1852,1852,2,11,Squan Inlet S 11 mi,,,Mechanical damage,Wood,,,,,,,"Boston, MA","New Orleans, LA","New York, NY",Vennard,12,,,,,Whiskey; flour,,N,N,Waiting for pilot,
Arkansas (1846),,,Schooner,,,2/15/1846,1846,2,15,Sandy Hook S 12 mi,,,Stranded,Wood,US,,,,,,,"Elizabeth City, NC","New York, NY",Pierce,7,,1,,,Corn,,,N,,
Arlington,,,Schooner,,,8/17/09,1909,8,17,Long Island,,,Stranded,Wood,US,,,,,,"Boston, MA","Boston, MA","New York, NY",,,,0,,,Pea Coal,,,N,Washed ashore at Asbury Park,
Artensis,,O Langa,Ship,1885,"Dumbarton, England",6/8/16,1916,6,8,Seaside Park,,,Stranded,Iron,Norway,266.8,39.5,22.3,1789,1709,"Drammen, Norway","Glasgow, Scotland","New York, NY",,19,,0,,,Ballast,Seaside Park,N,Y,Refloated,
Asterope,,,Brig,,,12/15/1870,1870,12,15,Sandy Hook E 75 mi,,,Collision,,England,,,,,,"New York, NY","Malaga, Spain","New York, NY",,,,,,,,,N,N,Partial loss,
Auburn,,Savannah Line,Packet,1837,"New York, NY",9/25/1847,1847,9,25,Barnegat Light S 5 mi,39-44-46 N,74-05-20 W,Stranded,,,117,28.7,16.9,427,,"New Orleans, LA","New Orleans, LA","New York, NY",E S Hoyt,26,,19,25000,45000,Cotton & hemp,,Y,N,Total loss,
Auburndale,,,Bark,1880,"Millbridge, ME",12/22/1898,1898,12,22,Harvey Cedars LSS S 1.25 mi,,,Stranded,Wood,US,149.3,33.6,17.3,663,574.99,"Boston, MA","Buenos Aeris, Arg","New York, NY",Dow,11,,0,8000,1600,900 ton salt,Ship Bottom; Loveladies,N,N,#105935; Refloated; Disappeared  7/1/1908,
Augustina,,,Brig,,,2/3/1880,1880,2,3,"Monmouth Beach, NJ",40-21-24 N,73-56-30 W,Stranded,,Spain,,,,168,,"Barcelona, Spain","Havana, Cuba","New York, NY",Artiz,8,,0,3000,5100,Cedar & hides,Monmouth Beach #4,Y,Y,Total loss,
Aurora (1827),,Robert Kermit,,1823,"Bath, ME",11/7/1827,1827,11,7,Sandy Hook,,,Stranded,Wood,,105.1,27.3,7.5,347,,,"Liverpool, England","New York, NY",J Taubman,,,,,,"Coal, crates, hardware, slate",,,Y,,
Ayrshire (1850),,Buoun & Co,Bark,1845,"Quebec, Canada",1/12/1850,1850,1,12,Squan Inlet S 8.1 mi,39-58-30 N,74-03-00 W,Stranded,Wood,England,,,,625,,"Bristol, England","Newry, Ireland","New York, NY",J P M McGlew,47,202,1,,,37 ton iron; 280 ton coal,,Y,Y,1st use of Francis life car,
B F Reeves,,,Schooner,,,12/23/1872,1872,12,23,Cape May,,,Stranded,,,,,,,,"Manasquan, NJ","Maurice River, NJ","New York, NY",,,,,,,,,,N,,
B I Hazard,,,Schooner,1872,"Port Jefferson, NY",5/10/12,1912,5,10,Brigantine LSS S 4 mi,,,Stranded,Wood,,131.8,31.1,8.4,392,349,"New York, NY","Beaufort, NC","New York, NY",,6,,0,7000,10000,Lumber,"Brigantine, S Brigantine , Atlantic City",,N,#2836,
B N Hawkins,,,Schooner,,,1/6/1878,1878,1,6,Brigantine Shoal,,,Stranded,,,,,,395.51,,"New York, NY","Charleston, SC","New York, NY",Turpin,10,,0,20000,3000,Lumber,Brigantine #25,Y,N,#2354; Total loss,
Badsworth,,"Miller, Bull & Knowlton",Steamer,1883,"South Hampton, England",1/18/1897,1897,1,18,Long Beach LSS NE 1.75 mi,,,Stranded,Iron,US,263.8,36.1,24.1,1992,1272,"Philadelphia, PA","Pernambuco, Brazil","New York, NY",Fox,23,,0,49000,84600,Sugar,,N,N,Refloated,
Balsa,,A D Cummins,Schooner,1919,"Yarmouth, NS",4/23/25,1925,4,23,Sandy Hook Romer Shoal,,,Stranded,Wood,US,161.1,35.6,13,557,514,"Philadelphia, PA","Philadelphia, PA","New York, NY",Erickson,8,0,0,10000,,None,,,N,#219352,
Baltimore (1838),,,Schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded,,,,,,,,"New Haven, CT","Norfolk, VA","New York, NY",Wetmore,,,,,,Corn & Staves,,,N,,
Batsto,,,Schooner,,,11/2/1843,1843,11,2,Egg Harbor,,,Stranded,,,,,,,,Tuckerton. NJ,"Philadelphia, PA","New York, NY",,,,0,,,Coal,,Y,N,Total loss,
Bayard,,Bureau Freres,Bark,1901,"Nautes, France",10/17/03,1903,10,17,Spermaceti Cove LSS SE .25 mi,,,Stranded,Steel,France,277,40,22.5,2297,1731,"Nautes, France","Cape Town, SA","New York, NY",Le Wein,23,,0,80000,,in ballast,Spermaceti Cove,N,N,Refloated,
Bea Bellido,,Short Brothers,Steamer,1893,"Sunderland, England",2/24/1895,1895,2,24,Brigantine Shoal,39-23-00 N,74-23-30 W,Stranded,,England,277,37.2,14.3,1914,1202,"New Castle, England","Philadelphia, PA","New York, NY",Young,27,0,0,100000,,None,Brigantine & So Brigantine,N,N,#101825; Refloated,
Bell Savage,,,Brig,,,12/20/1750,1750,12,20,Sandy Hook,,,Stranded,,,,,,,,,"Limetree Bay, Virgin Islands","New York, NY",Lewis,,,,,,,,N,N,Refloated,
Belle (1842),,,Schooner,,,10/2/1842,1842,10,2,Cape May Fishing Creek,,,Stranded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",Scull,,,,,,Coal,,Y,N,Total loss,
Belle R Hull,,J Driscoll et al,Schooner,1858,"Toms River, NJ",11/17/1872,1872,11,17,Barnegat,,,Collision,,US,,,9,194,,"Brooklyn, NY","Port of Yorktown, Virginia","New York, NY",J Driscoll,,,,,,,,N,N,Made way to NY; John B Myers sank,
Bertha (1905),,Funch Eyde & Co,Bark,1893,"Inverkeithing, UK",5/16/05,1905,5,16,Long Branch LSS S 1 mi,,,Stranded,,Denmark,129,25,10.3,265,243,"Ebsjerg, Denmark","Rio Grande, Brazil","New York, NY",J J Norholm,8,,0,30000,70000,Hides; glue stock,Deal & Long Branch,N,Y,Refloated,
Bethany,,J G Punch,Bark,1870,"Sunderland, England",3/9/1877,1877,3,9,Five Mile Beach,38-57-18 N,74-51-00 W,Stranded,Wood,England,127,27.2,17.1,375,359,"Sydney, Australia","Hong Kong, China","New York, NY",Bendall,11,,0,14000,86000,General,Turtle Gut #37,Y,N,#62560; Total loss,
Betsey (1778),,,Brig,,,1778,1778,,,Tuckers Beach,39-30-24 N,74-17-24 W,Stranded,,,,,,,,,"Liverpool, England","New York, NY",,,,30,,,"Silver plate, silk, dry goods",,Y,Y,Total loss,
Bianca Aspasia,,,Bark,1884,"Sestri Ponente, Italy",5/23/01,1901,5,23,Ship Bottom LSS S .25 mi,39-38-00 N,74-10-45 W,Stranded,Wood,Italy,134.5,27.9,14.1,466,451,"Genoa, Italy","Palenque, San Domingo","New York, NY",Vincenzo Viggi,15,,0,18000,37000,Sugar,,Y,N,#3649; #14232; Total loss,
Black Warrior,,NY & New Orleans SS Co,Sidewheel steam,1852,"New York, NY",2/20/1859,1859,2,20,"Rockaway Bar, NY",40-5462 N,73-8878 W,Stranded,Wood,US,225,37,18,1556,,"New York, NY","Havana, Cuba","New York, NY",Smith,,,0,,,,,Y,Y,"Passengers, crew & cargo saved",
Bonita (1896),,,Schooner,1863,"Kennebunkport, ME",9/10/1896,1896,9,10,Little Egg Harbor LSS S 1.25 mi,,,Stranded,,,42.8,15.3,5.6,18.67,17.74,"Gloucester, MA","Chincoteague, VA","New York, NY",Price,4,,0,1500,255,Wood,Little Egg,N,N,#2561; Refloated,
Bowden,,A & S Frugtfast,Steamer,1912,"Fredrickstad, Norway",1/30/17,1917,1,30,Barnegat Inlet,,,Stranded,Steel,Norway,235,33.6,21.2,1255,716,"Christiania, Norway","Jamaica, WI","New York, NY",M H Henriksen,23,,0,434000,,Sugar,Barnegat & USCG,N,N,Refloated,
Bramble,,P H Dixon & Harrison,Steamer,1888,"Cambelltown, PA",6/25/1894,1894,6,25,Brigantine Shoal,,,Stranded,Steel,England,260,37.1,16.9,1508,962,"Glasgow, Scotland","Ponce, Puerto Rico","New York, NY",Moxon,25,,0,35000,10000,Sugar,Brigantine,N,N,#96010; Refloated,
Brazil,,,Schooner,,,5/16/1860,1860,5,16,Squan Beach S 6.5 mi,,,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",Dorsetts,,,,,,"Stone, coal",,N,N,Refloated 6/25/1860,
Breakwater,,,Schooner,,,11/14/1838,1838,11,14,Belmar area,,,Stranded,,,,,,,,"Stonington, CT","Baralos, Cuba","New York, NY",,,,,,,Fruit,,Y,N,Total loss,
Brighton (1903),,,Steamer,1902,"Sandefjord, Norway",3/30/03,1903,3,30,Atlantic City LSS E 1 mi,,,Stranded,Steel,Norway,227.1,31.6,15.1,1250,715,"Sandefjord, Norway","Port Antonio, Jamaica","New York, NY",Otto Krogh,24,,0,125000,40000,Banabas & coconuts,Atlantic City,N,N,Refloated,
Bristol,,Woodhull & Minturn,Packet,,,11/21/1836,1836,11,21,"Rockaway Beach, NY",,,Stranded,Wood,US,,,,,,"New York, NY","Liverpool, England","New York, NY",McKown,,120,51,,,,,Y,N,Ignored by pilot boats,
Brothers,,,Schooner,,,12/23/1870,1870,12,23,Sandy Hook,,,Stranded,,,,,,,,"Warwick, RI","Norfolk, VA","New York, NY",,,,,,,3700 bushels corn,,,N,,
Byron D Benson (4/1942),,Tidewater Assoc Oil Co,Tanker,1921,"Tampa, FL",4/5/42,1942,4,5,"Oregon Inlet, NC NE 28 mi",36-10-00 N,75-13-00 W,War loss,,,465.4,60.2,27.8,7953,4932,"Wilmington, DE","Port Arthur, TX","New York, NY",John McMillian,37,,9,,,"100,000 barrels crude oil",,Y,Y,#221861; Total loss,
C & C Brooks (1878),,,Schooner,,,12/24/1878,1878,12,24,Brigantine LSS E .75 mi,,,Stranded,,,,,,135.22,,"New York, NY","Port of Yorktown, Virginia","New York, NY",Darby,5,,0,2000,435,Pinewood,Brigantintine #25,Y,N,#5048; Total loss,
C H Maleson,,,Schooner,,,1/2/1878,1878,1,2,Turtle Gut Inlet N,,,Stranded,,,,,,,45,"Squan, NJ","Assawoman, VA","New York, NY",Curtis,3,,,3000,400,Pine wood,Cape May #39,N,N,Refloated,
C L Scull,,,Schooner,,,12/18/1869,1869,12,18,Shark River Inlet,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,,,,Shingles,#18,,N,,
C Matthews,,,Brig,,Squan. NJ,9/9/1865,1865,9,9,Squan Inlet S 11.5 mi,,,Stranded,,,,,,,,,"Savannah, GA","New York, NY",,15,,0,,,,,,N,,
C R Bennett,,,Schooner,1883,"Milford, DE",7/26/04,1904,7,26,Barnegat Inlet,,,Stranded,,,63.5,17.8,4.5,32,31,"Chincoteague, VA","Kettle Creek, NY","New York, NY",Buzzy,2,1,0,175,,None,Barnegat,N,N,#126127; Refloated,
